Container size , List Append, List Prepend,List Remove from end, ListRemove from beginning,List Empty, List Insert, List Remove duplicates, List Reverse,List Swap,, Append, Prepend, Remove from end, Remove from beginning, Empty, Insert, Remove duplicates, Reverse, Swap,,Vec Append,Vec Prepend, Vec Remove from end, Vec Remove from beginning, Vec Empty, Vec Insert,Vec Remove duplicates,Vec Reverse,Vec Swap,,Arr Append,Arr Prepend,Arr Remove from end,Arr Remove from beginning,Arr Empty,Arr Insert,Arr Remove duplicates,Arr Reverse,Arr Swap
100,14,6,4,5,34,6,4,2,1,,49,29,210,4,25,10,117,315,1,,8,14,1,2,1,58,2129,2,1,,1,17,1,15,2,9,152,6,1
200,21,5,4,4,67,25,6,3,1,,451,23,99,7,49,189,233,635,2,,10,15,1,2,1,54,8538,2,1,,0,6,0,6,2,0,608,12,3
300,20,14,5,4,100,19,8,5,1,,193,17,134,4,73,135,350,947,1,,10,17,1,2,1,22,19188,2,1,,0,12,0,9,2,0,1367,19,1
400,4,4,4,4,132,12,10,5,1,,1120,5,174,4,96,294,461,1255,1,,29,21,1,6,1,94,35365,2,1,,1,12,0,13,2,28,2500,25,1
500,8,14,4,4,179,21,16,7,1,,2107,5,220,4,136,372,590,1568,1,,10,30,1,2,1,39,55178,2,1,,0,16,0,16,2,32,3798,32,1
600,5,15,4,4,213,5,16,10,1,,473,6,260,4,154,715,700,1882,1,,28,38,1,3,1,91,77619,2,1,,0,19,0,19,2,62,5512,37,2
700,4,4,5,10,229,5,17,9,1,,3490,18,302,4,164,540,800,2198,1,,11,52,1,3,1,54,104837,3,1,,0,23,0,22,2,82,7460,44,4
800,4,15,4,4,297,7,21,10,1,,3677,5,353,4,189,588,919,2699,1,,10,78,1,3,1,107,141882,2,1,,1,25,0,25,3,110,9962,50,1
900,14,5,5,5,291,5,21,13,1,,4361,5,388,4,211,3025,1029,2829,1,,10,76,1,3,1,101,175334,3,1,,1,27,0,28,2,150,12409,56,1
1000,4,14,4,4,326,7,27,13,3,,984,5,431,4,238,885,1152,3143,1,,30,331,1,3,1,79,215824,3,1,,1,26,0,23,2,189,15032,61,2
